Date,AAPL,ADBE,AMAT,AMD,AMGN,AMZN,APH,ASML,AVGO,BA,BABA,BAC,BKNG,C,CAT,COST,CRM,CSCO,CVX,DIS,ETN,GE,GOOGL,GS,HD,HSBC,IBM,JNJ,JPM,KO,LLY,LRCX,MA,META,MS,MSFT,NEE,NFLX,NVDA,NVS,ORCL,PFE,PG,PLTR,PM,QCOM,SAN,SAP,TM,TSLA,TSM,UNH,V,VZ,WFC,WMT,XOM
2023-01-03,123.33065032958984,336.9200134277344,94.34111785888672,64.0199966430664,239.42544555664062,85.81999969482422,37.28932571411133,535.6754760742188,53.020179748535156,195.38999938964844,87.35295104980469,31.135231018066406,2003.318603515625,41.29408645629883,227.6172637939453,435.6617736816406,133.37701416015625,43.91538619995117,155.10035705566406,87.5111312866211,151.51625061035156,52.20121383666992,88.50955200195312,322.68597412109375,294.6044921875,25.537296295166016,127.56920623779297,163.68861389160156,125.49221801757812,57.92315673828125,356.9464111328125,40.21726608276367,340.7566223144531,123.97571563720703,77.92536163330078,234.42356872558594,77.34491729736328,294.95001220703125,14.30147933959961,82.09526062011719,80.66851806640625,43.85123825073242,141.4970703125,6.389999866485596,89.05001068115234,100.65719604492188,2.7109203338623047,100.1070785522461,128.38607788085938,108.0999984741211,71.0671157836914,494.2808837890625,203.1567840576172,32.78288269042969,38.84187316894531,46.2414665222168,96.91059112548828
2023-01-04,124.60270690917969,341.4100036621094,96.85739135742188,64.66000366210938,241.93272399902344,85.13999938964844,37.84085464477539,556.3980102539062,53.66774368286133,203.63999938964844,98.69230651855469,31.7205867767334,2080.436279296875,42.35846710205078,229.98033142089844,438.8143005371094,138.1369171142578,43.90615463256836,153.45120239257812,90.4717788696289,152.54397583007812,55.23954391479492,87.47666931152344,324.0654296875,298.1668395996094,26.38503646850586,128.5155029296875,165.4707489013672,126.6624755859375,57.89555358886719,355.09808349609375,41.00937271118164,348.9610595703125,126.58961486816406,78.77079772949219,224.16915893554688,77.95384979248047,309.4100036621094,14.735071182250977,81.76583862304688,81.40081787109375,42.88456726074219,142.11318969726562,6.579999923706055,88.98847961425781,104.72291564941406,2.81935715675354,102.90868377685547,127.37406158447266,113.63999938964844,73.26546478271484,480.80511474609375,208.27024841308594,33.608184814453125,39.64120101928711,46.292972564697266,97.19265747070312
2023-01-05,123.28134155273438,328.44000244140625,95.50172424316406,62.33000183105469,244.19288635253906,83.12000274658203,37.43574523925781,551.0272827148438,53.167701721191406,204.99000549316406,99.31910705566406,31.65555191040039,2114.44580078125,42.16904830932617,228.9512481689453,432.6919250488281,134.92076110839844,43.28750228881836,156.2146453857422,90.41275024414062,150.98800659179688,56.097251892089844,85.60953521728516,320.39324951171875,294.194091796875,27.25700569152832,127.17266082763672,164.24899291992188,126.63439178466797,57.23305130004883,351.01019287109375,40.48518753051758,345.63995361328125,126.1622543334961,78.107177734375,217.52528381347656,76.23773956298828,309.70001220703125,14.251526832580566,80.83992767333984,81.23701477050781,42.48249053955078,140.34881591796875,6.320000171661377,88.6280517578125,102.72293090820312,2.8103206157684326,102.20588684082031,125.82356262207031,110.33999633789062,72.69908905029297,466.9479675292969,206.8008575439453,34.07394027709961,39.42741775512695,46.13518524169922,99.36725616455078
2023-01-06,127.81737518310547,332.75,101.69489288330078,63.959999084472656,251.82452392578125,86.08000183105469,38.348453521728516,580.7853393554688,56.368186950683594,213.0,101.99724578857422,31.97145652770996,2148.268310546875,42.67417526245117,237.126708984375,464.1016845703125,139.04733276367188,44.617149353027344,157.3913116455078,92.37995910644531,154.73390197753906,56.608734130859375,86.74172973632812,324.4195556640625,296.1151428222656,27.70106315612793,129.50685119628906,165.58096313476562,129.0576171875,58.337215423583984,354.94158935546875,43.2236213684082,361.8492431640625,129.223388671875,79.59803771972656,220.08888244628906,77.1788330078125,315.54998779296875,14.844965934753418,82.1664810180664,82.5378189086914,43.560386657714844,143.69091796875,6.400000095367432,90.97517395019531,108.30037689208984,2.891648292541504,105.0459976196289,129.02670288085938,113.05999755859375,74.94541931152344,466.986083984375,213.3053436279297,34.474327087402344,39.78061294555664,47.26546859741211,100.56826782226562
2023-01-09,128.33999633789062,341.9800109863281,103.86006927490234,67.23999786376953,247.17605590820312,87.36000061035156,38.61690139770508,605.6211547851562,55.26271438598633,208.57000732421875,105.25470733642578,31.488306045532227,2177.01318359375,42.88163375854492,234.9923553466797,460.1418151855469,145.56875610351562,44.85723114013672,156.1611328125,93.21601104736328,154.52256774902344,57.183162689208984,87.41706848144531,329.00518798828125,296.37628173828125,27.579954147338867,129.37164306640625,161.291015625,128.52432250976562,57.61030197143555,342.1204833984375,43.91865921020508,365.09698486328125,128.67672729492188,79.6707763671875,222.2317352294922,77.56632995605469,315.1700134277344,15.613239288330078,80.08316040039062,83.58235168457031,41.396053314208984,141.93580627441406,6.5,89.92908477783203,107.61494445800781,2.9006845951080322,107.28921508789062,129.92730712890625,119.7699966430664,77.09576416015625,467.04327392578125,214.13800048828125,34.33572006225586,39.3995361328125,46.67617416381836,98.69393920898438
2023-01-10,128.9119110107422,338.70001220703125,105.37179565429688,68.05000305175781,250.61663818359375,89.87000274658203,38.70475769042969,617.3762817382812,55.0749626159668,206.69000244140625,109.10095977783203,31.70200538635254,2189.375,43.46794128417969,238.6989288330078,462.6888427734375,145.9051971435547,45.06959915161133,156.92779541015625,93.99307250976562,154.07113647460938,59.229068756103516,87.81433868408203,333.06878662109375,299.0060729980469,27.765649795532227,130.4982147216797,160.9051971435547,129.67510986328125,57.16863250732422,344.9761047363281,44.51856231689453,365.1363525390625,132.1751708984375,80.83436584472656,223.92454528808594,77.99998474121094,327.5400085449219,15.893973350524902,80.51941680908203,83.65972900390625,40.737342834472656,141.7957763671875,6.699999809265137,89.83238983154297,109.77456665039062,2.9277937412261963,109.19546508789062,129.18453979492188,118.8499984741211,78.01736450195312,463.1739807128906,216.5771484375,34.817108154296875,39.37165451049805,46.64720153808594,100.16793823242188
2023-01-11,131.633544921875,342.92999267578125,107.34190368652344,69.05999755859375,249.72903442382812,95.08999633789062,39.37831115722656,628.3807983398438,55.38246154785156,208.02999877929688,109.23391723632812,31.943586349487305,2193.18017578125,43.936988830566406,238.90850830078125,465.4856872558594,143.39163208007812,45.43894577026367,156.17898559570312,94.75045013427734,157.60569763183594,61.13332748413086,90.89309692382812,339.704833984375,306.81158447265625,27.935195922851562,130.91278076171875,160.64801025390625,130.6387939453125,57.0582160949707,352.46734619140625,45.0709114074707,371.8779296875,132.07577514648438,81.29801177978516,230.6956024169922,78.42440032958984,327.260009765625,15.985886573791504,80.54612731933594,85.69076538085938,40.5919189453125,140.6475372314453,6.980000019073486,89.71809387207031,111.16423797607422,2.9097213745117188,110.59146118164062,128.91531372070312,123.22000122070312,78.5069351196289,470.2264404296875,217.56654357910156,34.17802810668945,39.724853515625,47.056156158447266,101.33257293701172
2023-01-12,131.55467224121094,344.5400085449219,107.47845458984375,70.80000305175781,247.90805053710938,95.2699966430664,39.485679626464844,636.0616455078125,55.74647521972656,214.32000732421875,107.45799255371094,32.0272102355957,2224.685791015625,44.27975082397461,243.0439453125,463.6788024902344,148.04270935058594,45.24504470825195,157.8548583984375,98.17337799072266,158.20123291015625,62.053993225097656,90.5057601928711,344.7936706542969,307.6229553222656,28.597248077392578,131.1741180419922,159.83958435058594,130.50779724121094,56.322105407714844,351.20574951171875,45.628116607666016,373.7970275878906,135.87240600585938,82.29798889160156,233.37661743164062,78.4889907836914,330.1300048828125,16.495403289794922,80.62625122070312,85.8648681640625,40.814334869384766,139.85401916503906,7.010000228881836,89.17308044433594,114.16893005371094,2.991048574447632,112.33403778076172,132.1741485595703,123.55999755859375,83.51801300048828,472.3898010253906,219.0554962158203,34.70090866088867,39.808502197265625,46.63109588623047,103.01585388183594
2023-01-13,132.88589477539062,344.3800048828125,107.25413513183594,71.0,248.64927673339844,98.12000274658203,39.22699737548828,643.0114135742188,55.464839935302734,214.1300048828125,111.12381744384766,32.73333740234375,2268.622314453125,45.02841567993164,246.27407836914062,466.38916015625,147.95364379882812,45.13423538208008,158.2827606201172,97.77011108398438,157.9514923095703,63.108428955078125,91.48899841308594,348.5776672363281,308.8725891113281,29.186634063720703,131.4805450439453,159.31597900390625,133.80111694335938,56.5245361328125,353.65069580078125,45.98048400878906,369.574951171875,136.14071655273438,83.32524871826172,234.0811309814453,78.12915802001953,332.82000732421875,16.883039474487305,81.07139587402344,86.27107238769531,40.93410110473633,140.85289001464844,6.960000038146973,89.4016342163086,112.90132141113281,3.045267105102539,112.6517562866211,130.2615509033203,122.4000015258789,83.3260269165039,466.5763244628906,218.50692749023438,34.74240493774414,41.10044479370117,46.78566360473633,102.9521484375
2023-01-17,134.0494842529297,344.3800048828125,106.70796203613281,71.58999633789062,246.53550720214844,96.05000305175781,39.3831901550293,641.5492553710938,55.48783493041992,211.41000366210938,109.39537048339844,32.07365798950195,2300.838134765625,45.38020706176758,244.1778106689453,467.85009765625,146.92446899414062,44.395545959472656,160.89466857910156,98.27174377441406,155.9921112060547,63.336631774902344,90.66466522216797,326.134521484375,305.4407958984375,29.307737350463867,130.84971618652344,158.3330841064453,131.73342895507812,56.75457000732422,349.85614013671875,45.72032165527344,369.0632019042969,134.5306854248047,88.25238037109375,235.177001953125,79.10716247558594,326.2200012207031,17.685283660888672,82.24661254882812,85.69076538085938,39.41992950439453,140.44215393066406,7.070000171661377,88.98847961425781,112.93889617919922,3.0091214179992676,111.88154602050781,134.41171264648438,131.49000549316406,85.42839050292969,462.2971496582031,218.44815063476562,33.90414047241211,41.00749206542969,46.50227737426758,102.75199127197266
